Target_ID,Classification,Z_Slice,Y,X,Vol_voxels,Vol_um3,Max_Intensity,Sum_Intensity,Integrated_Density,Z_Slices_Count,Avg_Initial_Dendrite_Intensity,Barrier_um,Tolerance,Z_Search_Range,Dendrite_Length_um
1,Spine,19,7,164,560,1.9595519999999997,624,230345.0,230345.0,11,189.2573402626702,1.2,0.45,3,77.78014311920663
2,Filopodia,16,72,143,0,0.0,206,0.0,0.0,0,189.2573402626702,1.2,0.45,3,77.78014311920663
3,Spine,29,142,135,1180,4.129055999999999,544,350187.0,350187.0,18,189.2573402626702,1.2,0.45,3,77.78014311920663
4,Spine,36,176,124,860,3.0093119999999995,406,185597.0,185597.0,15,189.2573402626702,1.2,0.45,3,77.78014311920663
5,Spine,33,210,149,804,2.8133567999999998,807,407962.0,407962.0,12,189.2573402626702,1.2,0.45,3,77.78014311920663
6,Spine,37,214,120,317,1.1092464,465,90416.0,90416.0,13,189.2573402626702,1.2,0.45,3,77.78014311920663
9,Spine,35,254,141,380,1.3296959999999998,479,107102.0,107102.0,12,189.2573402626702,1.2,0.45,3,77.78014311920663
10,Spine,51,337,97,505,1.7670959999999998,845,291194.0,291194.0,11,189.2573402626702,1.2,0.45,3,77.78014311920663
11,Spine,51,324,130,753,2.6348975999999995,698,339175.0,339175.0,12,189.2573402626702,1.2,0.45,3,77.78014311920663
13,Spine,49,369,78,1392,4.8708864,507,418139.0,418139.0,14,189.2573402626702,1.2,0.45,3,77.78014311920663
15,Spine,54,441,103,451,1.5781391999999999,464,122068.0,122068.0,12,189.2573402626702,1.2,0.45,3,77.78014311920663
